,precision,recall,f1-score,support
Carambola,1.0,1.0,1.0,24.0
Pitaya,1.0,1.0,1.0,30.0
apple,1.0,1.0,1.0,33.0
banana,1.0,1.0,1.0,28.0
cardboard,0.8709677419354839,0.8709677419354839,0.8709677419354839,31.0
compost,0.8888888888888888,1.0,0.9411764705882353,16.0
glass,0.7804878048780488,0.6808510638297872,0.7272727272727273,47.0
kiwi,1.0,1.0,1.0,28.0
mango,1.0,1.0,1.0,39.0
metal,0.75,0.7105263157894737,0.7297297297297298,38.0
orange,1.0,1.0,1.0,30.0
paper,0.7555555555555555,0.8947368421052632,0.8192771084337349,38.0
peach,1.0,1.0,1.0,37.0
plastic,0.8444444444444444,0.76,0.8,50.0
tamotoes,0.9259259259259259,1.0,0.9615384615384615,25.0
trash,0.47058823529411764,0.5333333333333333,0.5,15.0
accuracy,0.8958742632612967,0.8958742632612967,0.8958742632612967,0.8958742632612967
macro avg,0.892928662307654,0.9031509560620838,0.8968726399686483,509.0
weighted avg,0.8969458822443689,0.8958742632612967,0.8951696721019708,509.0
